#label	#1ID	#2ID	#english_sentence	#french_sentence
1	0	1	The invention of farming some 10,000 years ago led to the development of agrarian societies , whether nomadic or peasant , the latter in particular almost always dominated by a strong sense of traditionalism .	En quelques décennies , l' activité économique de la vallée est passée d' une mono-activité agricole essentiellement vivrière , à une quasi mono-activité touristique , si l' on excepte un artisanat du bâtiment traditionnel important , en partie saisonnier .
1	1	2	For thicker tube walls it is necessary to prepare the edges more carefully , for example using a U-groove cross-section .	Par contre , les grandes mandoles ténor nécessitent une utilisation plus importante de l' auriculaire , l' espacement entre les frettes étant plus important .
1	2	3	The rookie that comes first in the challenge will become weekly captain , they also cannot be cut from the competition during that week .	Le candidat éliminé dans le prime du jeudi soir sera également chroniqueur dans Le Mag pour la semaine qui suit son élimination .
1	3	4	To encourage economic growth , the Sui government issued a new currency to replace those issued by its predecessors , Northern Zhou and Chen .	Il renverse le jeune dalaï-lama promu par le régent et fait nommer à sa place un nouveau dalaï-lama plus enclin à respecter les princes Qohsots et l' Empereur de Chine Kangxi .
1	4	5	They initially had the sole right to publish copies of Alexander Muir 's " The Maple Leaf Forever " that for many years served as an unofficial Canadian national anthem .	Alexander Muir compose The Maple Leaf Forever ( en ) qui est un chant patriotique pro canadien anglais .
1	5	6	Several critics asserted she was unjustly overlooked in the Grammy 's three major categories : Record of the Year , Song of the Year and Album of the Year .	Cette même année , Annie est en nomination dans trois catégories au gala de l' Adisq soit : l' album de l' année , chanson de l' année et la révélation de l' année .
1	6	7	1952 relates that Cahill was a very proper woman who didn 't tolerate naughty behavior or salaciousness .	En 1942 , Agostino Gemelli reconnut que l' affaire Galilée fut une erreur grave , qui ne mettait en cause ni l' infaillibilité du pape ni l' autorité de l' Église .
1	7	8	A few decades later , much of the local population left as well , emigrating to Canada , where in 1785 they founded Arisaig , Nova Scotia .	Certains d' entre eux se sont rendus par la suite à Livourne puis ont émigré à Londres en 1740 , aux Antilles ou en Australie Les Montefiore ont fait souche en Angleterre .
1	8	9	In 2018 the Defence Secretary announced that the proposed new Type 26 frigates would all to be based at Devonport .	En 2017 , solidaritéS annonce la création d' une nouvelle section dans le canton de Fribourg .
1	9	10	Since the end of the Cold War , Russia has remained an important partner , but Algeria has increasingly sought additional sources for equipment as well as building its own shipbuilding capacity .	A contrario , la Russie est avant tout une puissance terrestre , qui n' a cependant jamais cessé de chercher de nouveaux accès maritimes et à devenir elle aussi une grande puissance maritime .
1	10	11	The opinions of the committee and those who submitted evidence to it on what should be banned were somewhat wide .	La jurisprudence , qui a dû fixer les limites à ces atteintes , est vaste .
1	11	12	After Caesar 's death , he joined the party of Gaius Cassius Longinus , who sent him to plunder Tarsus .	Après la mort du dictateur il est accusé par Caius Cassius Longinus de conspiration contre Rome ; il est mis à mort par la suite .
1	12	13	All are considered separate letters , and have their own place in the alphabet : á , é , í , ó , ú , ý , and ö .	On les trouve toujours rangés dans cet ordre et ce quel que soit leur nombre : si , mi , la , ré , sol , do , fa .
1	13	14	After the Monday deadline , Chinese police announced on loudspeakers that anyone who took part in the violence and gave themselves up would be treated with leniency .	Dans les années qui suivirent la Révolution d' Octobre , les architectes qui avaient refusé d' émigrer , rejoints par ceux de la nouvelle génération , se mirent à dénoncer l' héritage bourgeois et adoptèrent un parti-pris formaliste .
1	14	15	Computing power had become sufficiently powerful by the middle of the 20th century to allow mass and energy flow models on a vertical and horizontally resolved grid .	Ce style de jeu apparu vers le milieu des années 1990 peut être considéré comme l' évolution des shoot them up à défilement vertical et horizontal .
1	15	16	Terminal Services , previously only available as a separate edition of NT 4 , was expanded to all server versions .	Les sources de toutes les branches depuis la version 2.2 jusqu' aux dernières expérimentations de CURRENT sont en permanence disponibles sur les serveurs .
